Legal Name,DBA Name,Street,City,State,Zip,Country,Phone No,Fax No,User Count,DealerTrack Id,Lender Dealer Id,Lender Rep Name,Lender Rep Id,Enrollment Date,Agreement Received,Enrollment Phase,Enrollment Update Date,Modified Date,Status,Dept,Alternate Street,Independent,PaymentTrack Id,Equifax Signup Date,Transunion Signup Date,Experian Reseller Signup Date,Experian Direct Signup Date,Cost Center,Loan App Id,Lease App Id,Loan Svc Id,Lease Svc Id,Prime Id,Subprime Id,Subvented Id,Match Change Date,Previous Match Dealerid,Grace Period Status,Agreement Required By Date,Agreement Version,Agreement Signatory,Overall Use 30 Days,Equifax Status,Experian Status,Transunion Status,PaymentTrack Status,eContract Status,Dealer File Override,Override Expiration,Vehicle Type,Created Date,Activated Date,Equifax Use 30 Days,Experian Use 30 Days,Transunion Use 30 Days,DMS Use 30 Day,DMS Status,BookOut Kelley Status,BookOut Kelley 30 Day Activity,BookOut NADA Status,BookOut NADA 30 Day Activity,BookOut Black Status,BookOut Black 30 Day Activity,SalesDesk Status,SalesDesk 30 Day Activity,BookOut Pro Status,BookOut Pro 30 Day Activity,EFTFAX,eMenu Status,eMenu Version,eMenu 30 Day Activity,Independent Preference,Independent Status,Independent 30 Day Activity,Notes,uniFI Indicator
"California Default Test","California Emenu Default","614 Chapala Street","Canton","TX","76116","USA","8059638688","8664932254","6","100025","100025","","","02/01/01 02:00:00","06/12/11 00:56:33","Access Agreement Received","04/18/20","08/22/19 16:10:46","A","","","","*","*","*","*","*","*","","","","","","","","","","*","*","*","*","*","*","*","*","*","*","N","Never","Auto","02/01/01 00:00:00","09/22/05 10:43:52","*","*","*","*","","A","*","I","*","A","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Aloha Kia - Nimitz Hwy","Aloha Kia - Nimitz Hwy - Darwin","2841 N Nimitz Hwy","Honolulu","HI","96819","USA","8088339000","","97","100374","6920","","","10/12/02 00:35:02","09/03/03 16:30:15","Access Agreement Received","09/03/03","07/22/20 03:44:33","A","","","","*","*","*","*","*","*","","","","","","","","","","*","*","*","*","*","*","*","*","*","*","N","07/31/20","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","I","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"My Nissan Kia","My Nissan Kia - Darwin","222 Auto Center Circle","Salinas","CA","93907","USA","8314448888","","12","100796","6755","","","02/01/01 14:00:00","07/16/03 18:18:10","Access Agreement Received","07/16/03","06/05/20 03:44:44","A","","","","*","*","*","*","*","*","","","","","","","","05/26/20 16:43:50","829023","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Acura Of Avon","Acura Of Avon - Darwin","75 Albany Tpk","Canton","CT","06019","USA","8606936981","","10","101047","2658","","","01/29/02 16:52:43","05/29/03 09:38:31","Access Agreement Received","08/09/08","04/10/20 03:49:27","A","","","","*","*","*","*","*","*","","","","","","","","04/10/20 04:46:50","624699","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Douglass Nissan Of Waco","Douglass Nissan Of Waco - Darwin","5605 Legend Lake Pkwy","Waco","TX","76712","USA","2547768016","","16","101572","6670","","","04/22/02 09:29:22","04/03/03 09:25:28","Access Agreement Received","04/03/03","04/21/20 03:49:53","A","","","","*","*","*","*","*","*","","","","","","","","04/21/20 04:47:42","632358","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","I","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Bmw Mini Of San Antonio","Bmw Mini Of San Antonio - Darwin","15507 I-10","San Antonio","TX","78249","USA","2107327121","","150","101907","6667","","","02/01/01 14:00:00","06/27/03 20:27:47","Access Agreement Received","05/19/15","04/28/20 03:52:10","A","","","","*","*","*","*","*","*","","","","","","","","04/28/20 09:43:03","636650","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","I","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Boast Vw","Boast Vw - Darwin","4827 14th St W","Bradenton","FL","34207","USA","9417558585","","7","101958","3361","","","02/01/01 14:00:00","05/23/03 11:32:15","Access Agreement Received","05/23/03","05/24/20 03:50:06","A","","","","*","*","*","*","*","*","","","","","","","","05/24/20 04:48:21","826583","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","A","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Burlington Volkswagen","Burlington Volkswagen - Darwin","4500 Rt 130","Burlington","NJ","08016","USA","6095347993","","8","102576","6669","","","02/01/01 14:00:00","04/02/03 11:28:26","Access Agreement Received","04/02/03","05/05/20 03:50:16","A","","","","*","*","*","*","*","*","","","","","","","","05/05/20 04:48:19","682643","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Piazza Acura Of West Chester","Piazza Acura Of West Chester - Darwin","1330 Wilmington Pike","West Chester","PA","19382","USA","8778416095","","13","103210","4714","","","04/17/03 14:29:00","04/17/03 14:33:35","Access Agreement Received","04/17/03","05/14/20 03:52:12","A","","","","*","*","*","*","*","*","","","","","","","","05/05/20 12:49:10","636617","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","I","*","A","*","I","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Checkered Flag Vw","Checkered Flag Vw - Darwin","3025 Virginia Beach Blvd","Virginia Beach","VA","23452","USA","7572605916","","17","103274","2723","","","02/01/01 14:00:00","05/27/03 13:39:55","Access Agreement Received","05/27/03","04/21/20 03:49:53","A","","","","*","*","*","*","*","*","","","","","","","","04/15/20 04:47:09","627826","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Checkered Flag Honda - Darwin","Checkered Flag Honda - Darwin - Darwin","6541 E Virginia Beach Blvd","Norfolk","VA","23502","USA","7576873424","","21","103277","2795","","","02/01/01 14:00:00","05/27/03 13:39:55","Access Agreement Received","05/27/03","04/07/20 03:49:42","A","","","","*","*","*","*","*","*","","","","","","","","04/07/20 04:46:37","622297","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
