"Partner ID","Partner Dealer ID","DT Dealer ID","Legal Name","DBA Name","Street","City","State","PostalCode","Phone","Fax","Status","CRM","Dealership's Customer Contact Email","Leads","Ford LPS PA Code","Urban Science Vendor Id","Shift Digital Vendor Id","Hide Videos","Dealer Groups","Profile ID"
"DRW","7","7","Flemington Subaru","Flemington Subaru - DARWIN","167 NJ-31","Flemington","NJ","08830","908-782-2025",,"A","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com",,,,,,
"DRW","50","50","Audi Freehold","Audi Freehold - DARWIN","3561 U.S. Route 9N","Freehold","NJ","07728","(732) 810-8000",,"I","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com",,,,,,
"DRW","55","55","Turner Kia","Turner Kia - DARWIN","4201 Chambers Hill Road","Harrisburg","PA","17111","717-564-2240",,"I","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com",,,,,,
"DRW","101","101","Hertz Car Sales Bonita Springs","Hertz Car Sales Bonita Springs - DARWIN","28480 South Tamiami Trail","Bonita Springs","FL","34134","239-494-8389",,"A","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com",,,,,,
"DRW","104","104","Hertz Car Sales Marietta","Hertz Car Sales Marietta - DARWIN","1551 Cobb Pkwy S","Marietta","GA","30060","770-285-2875",,"A","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com",,,,,,
"DRW","106","106","Hertz Car Sales Orlando","Hertz Car Sales Orlando - DARWIN","6060 S Semoran Blvd","Orlando","FL","32822","407-315-3655","407-315-9440","A","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com",,,,,,
"DRW","113","113","Hertz Car Sales Tampa","Hertz Car Sales Tampa - DARWIN","11608 N Florida Ave","Tampa","FL","33612","813-931-2361",,"A","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com",,,,,,
"DRW","264","264","Arapahoe Hyundai","Arapahoe Hyundai - DARWIN","9899 E. Arapahoe Road","Centennial","CO","80112","(303) 539-1700",,"A","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com",,,,,,
"DRW","1542","1542","Boardwalk Nissan","Boardwalk Nissan - DARWIN","1 Bair Island Road","Redwood City","CA","94063","650-309-1308",,"A","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com",,,,,,
"DRW","1548","1548","First Team Subaru","First Team Subaru - DARWIN","4834 Bridge Road","Suffolk","VA","23435","757-998-2979",,"A","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com",,,,,,
"DRW","1549","1549","First Team Toyota","First Team Toyota - DARWIN","3400 Western Branch Blvd","Chesapeake","VA","23321","757-600-4479",,"A","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com",,,,,,
"DRW","1550","1550","First Team Kia","First Team Kia - DARWIN","4834A Bridge Rd","Suffolk","VA","23435","757-301-4174",,"A","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com",,,,,,
"DRW","1551","1551","First Team Honda","First Team Honda - DARWIN","3444 Western Branch Blvd","Chesapeake","VA","23321","757-337-6592",,"A","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com",,,,,,
"DRW","1559","1559","Fort Collins Kia","Fort Collins Kia - DARWIN","2489 S College Avenue","Fort Collins","CO","80525","(970) 480-0715",,"A","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com",,,,,,
"DRW","1560","1560","Fort Collins Nissan","Fort Collins Nissan - DARWIN","5811 S College Avenue","Fort Collins","CO","80525","(970) 282-1400",,"A","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com","Noemail@DarwinAutomotive.com",,,,,,
