"Project: Project Name","Stage Reason","Dealertrack ID","Start Date","Service Account(s) (DMKT)","Service Account (DMKT)"
"BOA - ILLINOIS - Continental Acura","Inventory Delay","100085","8/16/2019","",""
"BOA - CA - BMW Of Mountain View - Project -","AutoNation","100357","11/13/2017","",""
"BOA - FL - AutoNation Chevrolet Coral Gables - Project -","AutoNation","100506","11/13/2017","",""
"BOA - WA - AutoNation Chevrolet Spokane Valley - Project -","AutoNation","100551","11/13/2017","",""
"BOA - WA - AutoNation Volkswagen Spokane Audi Spokane - Project -","AutoNation","100552","11/13/2017","",""
"BOA - WASHINGTON - AutoNation Volkswagen Spokane Audi Spokane","AutoNation","100552","2/5/2020","",""
"BOA - WA - AutoNation Toyota Spokane Valley - Project -","AutoNation","100553","11/13/2017","",""
"BOA - CONNECTICUT - Artioli Dodge","RouteOne","100664","6/4/2019","",""
"BOA - CA - AutoNation Honda Roseville - Project -","AutoNation","100873","11/13/2017","",""
"BOA - TX - AutoNation Ford Frisco - Project -","AutoNation","101143","11/13/2017","",""
"BOA - CA - Lexus Of Cerritos - Project -","AutoNation","101171","11/13/2017","",""
"BOA - NEW YORK - Baron Honda","Inventory Delay","101187","10/4/2019","",""
"BOA - FL - AutoNation Chevrolet Doral - Project -","AutoNation","101308","11/13/2017","",""
"BOA - MD - AutoNation Chevrolet Laurel - Project -","AutoNation","101644","11/13/2017","",""
"BOA - TEXAS - Elder Chry/Dodge/Jeep","DT Enrollment Needed","101985","4/30/2019","",""
"BOA - NEW YORK - Brewster Ford Sales Inc","RouteOne","102337","6/25/2019","",""
"BOA - AZ - AutoNation Chevrolet Gilbert - Project -","AutoNation","102426","11/13/2017","",""
"BOA - AZ - AutoNation Nissan Tempe - Project -","AutoNation","102427","11/13/2017","",""
"BOA - AZ - AutoNation Nissan Chandler - Project -","AutoNation","102428","11/13/2017","",""
"BOA - FL - Autonation Ford Miami - Project -","AutoNation","102543","11/13/2017","",""
"BOA - PENNSYLVANIA - Chapman Ford of Horsham","RouteOne","102667","6/28/2019","",""
"BOA - TX - AutoNation Acura Gulf Freeway - Project -","AutoNation","102683","11/13/2017","",""
"BOA - NEW YORK - Canandaigua Chrysler Dodge Jeep","Inventory Delay","102775","9/24/2019","",""
"BOA - FL - AutoNation Ford St. Petersburg - Project -","AutoNation","102899","11/13/2017","",""
